k_code,P_zeta_ring
9.2083066506e-01,6.2932558235e-16
9.4182782349e-01,6.4618301368e-16
9.6330376775e-01,6.6980770137e-16
9.8526941529e-01,6.9845417563e-16
1.0077359325e+00,7.3136588851e-16
1.0307147405e+00,7.6820150661e-16
1.0542175207e+00,8.0882832769e-16
1.0782562209e+00,8.5323215284e-16
1.1028430614e+00,9.0147957953e-16
1.1279905412e+00,9.5370217909e-16
1.1537114441e+00,1.0100537334e-15
1.1800188455e+00,1.0707323084e-15
1.2069261191e+00,1.1359828710e-15
1.2344469434e+00,1.2060636587e-15
1.2625953089e+00,1.2812702908e-15
1.2913855248e+00,1.3619102281e-15
1.3208322272e+00,1.4483249183e-15
1.3509503852e+00,1.5408910428e-15
1.3817553099e+00,1.6400224308e-15
1.4132626611e+00,1.7461718852e-15
1.4454884559e+00,1.8597653952e-15
1.4784490764e+00,1.9813585713e-15
1.5121612785e+00,2.1114527229e-15
1.5466422001e+00,2.2506952115e-15
1.5819093698e+00,2.3996361654e-15
1.6179807159e+00,2.5590061634e-15
1.6548745757e+00,2.7295432530e-15
1.6926097044e+00,2.9120267402e-15
1.7312052850e+00,3.1072884917e-15
1.7706809378e+00,3.3162077252e-15
1.8110567307e+00,3.5398000791e-15
1.8523531889e+00,3.7791173281e-15
1.8945913060e+00,4.0352935827e-15
1.9377925539e+00,4.3095512507e-15
1.9819788943e+00,4.6032091928e-15
2.0271727898e+00,4.9176902432e-15
2.0733972151e+00,5.2545133856e-15
2.1206756686e+00,5.6152839964e-15
2.1690321849e+00,6.0018303807e-15
2.2184913462e+00,6.4160781665e-15
2.2690782956e+00,6.8601048614e-15
2.3208187494e+00,7.3361518552e-15
2.3737390103e+00,7.8466360883e-15
2.4278659806e+00,8.3940341994e-15
2.4832271763e+00,8.9811443695e-15
2.5398507407e+00,9.6110740870e-15
2.5977654588e+00,1.0287067391e-14
2.6570007721e+00,1.1012602161e-14
2.7175867933e+00,1.1791030335e-14
2.7795543218e+00,1.2626684211e-14
2.8429348592e+00,1.3523843035e-14
2.9077606257e+00,1.4487007568e-14
2.9740645759e+00,1.5520583257e-14
3.0418804160e+00,1.6630178680e-14
3.1112426206e+00,1.7821271077e-14
3.1821864507e+00,1.9099208473e-14
3.2547479711e+00,2.0470101634e-14
3.3289640690e+00,2.1940667017e-14
3.4048724729e+00,2.3517391711e-14
3.4825117713e+00,2.5206595327e-14
3.5619214328e+00,2.7016275580e-14
3.6431418259e+00,2.8953943953e-14
3.7262142398e+00,3.1025974701e-14
3.8111809050e+00,3.3241536849e-14
3.8980850148e+00,3.5608805019e-14
3.9869707479e+00,3.8134580564e-14
4.0778832898e+00,4.0828588067e-14
4.1708688568e+00,4.3699774191e-14
4.2659747189e+00,4.6755269470e-14
4.3632492238e+00,5.0005718552e-14
4.4627418219e+00,5.3461159553e-14
4.5645030910e+00,5.7129498617e-14
4.6685847622e+00,6.1023579798e-14
4.7750397465e+00,6.5155847878e-14
4.8839221609e+00,6.9536646117e-14
4.9952873568e+00,7.4183953561e-14
5.1091919476e+00,7.9115492945e-14
5.2256938375e+00,8.4348155575e-14
5.3448522513e+00,8.9909772455e-14
5.4667277642e+00,9.5828264259e-14
5.5913823324e+00,1.0213409914e-13
5.7188793253e+00,1.0887084634e-13
5.8492835568e+00,1.1608316046e-13
5.9826613192e+00,1.2382222924e-13
6.1190804159e+00,1.3215297353e-13
6.2586101969e+00,1.4114062458e-13
6.4013215931e+00,1.5086004339e-13
6.5472871531e+00,1.6139616574e-13
6.6965810796e+00,1.7282881398e-13
6.8492792675e+00,1.8524730365e-13
7.0054593421e+00,1.9873989128e-13
7.1652006988e+00,2.1337717808e-13
7.3285845435e+00,2.2923548556e-13
7.4956939335e+00,2.4637029180e-13
7.6666138204e+00,2.6480563259e-13
7.8414310926e+00,2.8456566081e-13
8.0202346200e+00,3.0563524293e-13
8.2031152987e+00,3.2797253834e-13
8.3901660977e+00,3.5153657937e-13
8.5814821056e+00,3.7625819494e-13
8.7771605797e+00,4.0208243062e-13
8.9773009945e+00,4.2899210309e-13
9.1820050932e+00,4.5699547733e-13
9.3913769387e+00,4.8620393067e-13
9.6055229668e+00,5.1683214778e-13
9.8245520405e+00,5.4918883214e-13
1.0048575505e+01,5.8376877843e-13
1.0277707244e+01,6.2117253997e-13
1.0512063740e+01,6.6208574924e-13
1.0751764128e+01,7.0729025877e-13
1.0996930262e+01,7.5749478784e-13
1.1247686776e+01,8.1327744950e-13
1.1504161142e+01,8.7499929861e-13
1.1766483742e+01,9.4261806139e-13
1.2034787930e+01,1.0157158781e-12
1.2309210099e+01,1.0934705918e-12
1.2589889755e+01,1.1746802876e-12
1.2876969585e+01,1.2581375070e-12
1.3170595526e+01,1.3428176873e-12
1.3470916846e+01,1.4282566423e-12
1.3778086216e+01,1.5151023808e-12
1.4092259788e+01,1.6051845007e-12
1.4413597274e+01,1.7016291120e-12
1.4742262030e+01,1.8086061108e-12
1.5078421134e+01,1.9304133552e-12
1.5422245476e+01,2.0705895627e-12
1.5773909842e+01,2.2306755014e-12
1.6133593003e+01,2.4090978804e-12
1.6501477806e+01,2.6012180357e-12
1.6877751270e+01,2.7999058049e-12
1.7262604676e+01,2.9975256856e-12
1.7656233667e+01,3.1892948678e-12
1.8058838347e+01,3.3759292157e-12
1.8470623385e+01,3.5656795395e-12
1.8891798113e+01,3.7738069298e-12
1.9322576641e+01,4.0181316510e-12
1.9763177957e+01,4.3125346358e-12
2.0213826046e+01,4.6594783367e-12
2.0674749996e+01,5.0453709767e-12
2.1146184124e+01,5.4437328116e-12
2.1628368086e+01,5.8255669564e-12
2.2121547004e+01,6.1755287277e-12
2.2625971591e+01,6.5069012423e-12
2.3141898273e+01,6.8627422737e-12
2.3669589328e+01,7.2995822295e-12
2.4209313010e+01,7.8559536557e-12
2.4761343693e+01,8.5207879365e-12
2.5325962006e+01,9.2278274372e-12
2.5903454977e+01,9.8890135432e-12
2.6494116180e+01,1.0457039320e-11
2.7098245882e+01,1.0979550991e-11
2.7716151197e+01,1.1590255430e-11
2.8348146242e+01,1.2421278267e-11
2.8994552298e+01,1.3486622033e-11
2.9655697969e+01,1.4633695643e-11
3.0331919355e+01,1.5646069233e-11
3.1023560219e+01,1.6449910215e-11
3.1730972161e+01,1.7239144761e-11
3.2454514800e+01,1.8348226033e-11
3.3194555956e+01,1.9914104031e-11
3.3951471833e+01,2.1656636206e-11
3.4725647216e+01,2.3110003105e-11
3.5517475664e+01,2.4175667133e-11
3.6327359709e+01,2.5371486265e-11
3.7155711063e+01,2.7300646186e-11
3.8002950823e+01,2.9806831829e-11
3.8869509692e+01,3.1998787747e-11
3.9755828191e+01,3.3444470426e-11
4.0662356889e+01,3.5015196192e-11
4.1589556625e+01,3.7803642757e-11
4.2537898750e+01,4.1288689145e-11
4.3507865361e+01,4.3841071794e-11
4.4499949549e+01,4.5498505130e-11
4.5514655647e+01,4.8367627847e-11
4.6552499490e+01,5.2955565059e-11
4.7614008673e+01,5.6704685972e-11
4.8699722824e+01,5.8727896150e-11
4.9810193875e+01,6.2258352023e-11
5.0945986341e+01,6.8269036784e-11
5.2107677614e+01,7.2600243680e-11
5.3295858247e+01,7.4971595949e-11
5.4511132262e+01,8.0686904465e-11
5.5754117454e+01,8.8090522262e-11
5.7025445703e+01,9.1447005845e-11
5.8325763301e+01,9.6034096722e-11
5.9655731274e+01,1.0553494662e-10
6.1016025722e+01,1.1087159120e-10
6.2407338162e+01,1.1506289118e-10
6.3830375878e+01,1.2640219222e-10
6.5285862285e+01,1.3309738580e-10
6.6774537289e+01,1.3805611919e-10
6.8297157671e+01,1.5195444594e-10
6.9854497467e+01,1.5814254958e-10
7.1447348364e+01,1.6638303934e-10
7.3076520100e+01,1.8231146854e-10
7.4742840879e+01,1.8650209939e-10
7.6447157787e+01,2.0289562817e-10
7.8190337228e+01,2.1457111585e-10
7.9973265361e+01,2.2371683174e-10
8.1796848553e+01,2.4510365183e-10
8.3662013837e+01,2.5018890059e-10
8.5569709384e+01,2.7585986533e-10
8.7520904988e+01,2.8293349304e-10
8.9516592554e+01,3.0872026414e-10
9.1557786606e+01,3.2038603375e-10
9.3645524802e+01,3.4621467060e-10
9.5780868460e+01,3.6144879114e-10
9.7964903101e+01,3.9019612372e-10
1.0019873899e+02,4.0579510068e-10
1.0248351173e+02,4.4185868359e-10
1.0482038279e+02,4.5418683524e-10
1.0721054014e+02,5.0045510355e-10
1.0965519884e+02,5.1089107169e-10
1.1215560166e+02,5.6024972451e-10
1.1471301968e+02,5.8480609097e-10
1.1732875299e+02,6.1580536923e-10
1.2000413133e+02,6.7270956652e-10
1.2274051475e+02,6.8822760886e-10
1.2553929430e+02,7.4159615821e-10
1.2840189277e+02,7.9902043839e-10
1.3132976538e+02,8.1789537458e-10
1.3432440054e+02,8.7449930442e-10
1.3738732061e+02,9.4815549686e-10
1.4052008263e+02,9.8032499593e-10
1.4372427918e+02,1.0148341579e-09
1.4700153913e+02,1.0910775147e-09
1.5035352851e+02,1.1706663677e-09
1.5378195132e+02,1.2181313151e-09
1.5728855044e+02,1.2508455001e-09
1.6087510847e+02,1.3003048092e-09
1.6454344866e+02,1.3733904804e-09
1.6829543586e+02,1.4562545172e-09
1.7213297740e+02,1.5344915201e-09
1.7605802414e+02,1.6029047193e-09
1.8007257140e+02,1.6634382626e-09
1.8417866002e+02,1.7201824046e-09
1.8837837735e+02,1.7763570641e-09
1.9267385836e+02,1.8335085028e-09
1.9706728669e+02,1.8915649966e-09
2.0156089577e+02,1.9483255323e-09
2.0615696997e+02,1.9984196776e-09
2.1085784574e+02,2.0336657573e-09
2.1566591281e+02,2.0487027275e-09
2.2058361539e+02,2.0541283943e-09
2.2561345345e+02,2.0828977066e-09
2.3075798393e+02,2.1565665045e-09
2.3601982211e+02,2.2232191524e-09
2.4140164288e+02,2.2041890262e-09
2.4690618214e+02,2.1771893174e-09
2.5253623815e+02,2.2588400863e-09
2.5829467301e+02,2.2648031146e-09
2.6418441407e+02,2.2090997273e-09
2.7020845541e+02,2.2973590761e-09
2.7636985942e+02,2.2176892606e-09
2.8267175829e+02,2.2760521229e-09
2.8911735564e+02,2.2105140113e-09
